Solucao 1
No:4 | Peso: 25
No:14 | Peso: 20
No:15 | Peso: 22
No:21 | Peso: 26
No:26 | Peso: 33
No:31 | Peso: 28
No:33 | Peso: 35
No:43 | Peso: 45
No:44 | Peso: 38
No:48 | Peso: 35
No:49 | Peso: 33
No:52 | Peso: 22
No:54 | Peso: 22
No:56 | Peso: 41
No:59 | Peso: 26
No:62 | Peso: 41
No:64 | Peso: 45
No:65 | Peso: 22
No:72 | Peso: 40
No:74 | Peso: 22
No:77 | Peso: 42
No:82 | Peso: 20
No:83 | Peso: 23
No:85 | Peso: 42
No:91 | Peso: 40
No:96 | Peso: 23
No:97 | Peso: 49
No:99 | Peso: 35
No:100 | Peso: 26
No:101 | Peso: 23
No:102 | Peso: 41
No:103 | Peso: 24
No:106 | Peso: 21
No:107 | Peso: 22
No:113 | Peso: 25
No:118 | Peso: 44
No:119 | Peso: 23
No:122 | Peso: 47
No:123 | Peso: 30
No:125 | Peso: 34
No:126 | Peso: 39
No:127 | Peso: 34
No:128 | Peso: 27
No:129 | Peso: 23
No:130 | Peso: 36
No:134 | Peso: 30
No:139 | Peso: 35
No:141 | Peso: 24
No:144 | Peso: 24
No:147 | Peso: 36
No:148 | Peso: 37
No:150 | Peso: 30
No:151 | Peso: 35
No:152 | Peso: 24
No:155 | Peso: 32
No:156 | Peso: 26
No:159 | Peso: 42
No:161 | Peso: 37
No:162 | Peso: 44
No:166 | Peso: 25
No:167 | Peso: 48
No:168 | Peso: 44
No:170 | Peso: 39
No:173 | Peso: 28
No:175 | Peso: 41
No:176 | Peso: 22
No:179 | Peso: 30
No:181 | Peso: 23
No:183 | Peso: 35
No:184 | Peso: 43
No:185 | Peso: 21
No:186 | Peso: 35
No:188 | Peso: 40
No:189 | Peso: 48
No:191 | Peso: 20
No:193 | Peso: 22
No:194 | Peso: 48
No:196 | Peso: 29
No:198 | Peso: 23
No:201 | Peso: 32
No:204 | Peso: 23
No:206 | Peso: 42
No:208 | Peso: 33
No:211 | Peso: 29
No:212 | Peso: 24
No:214 | Peso: 39
No:215 | Peso: 33
No:216 | Peso: 40
No:217 | Peso: 29
No:220 | Peso: 47
No:221 | Peso: 29
No:222 | Peso: 27
No:223 | Peso: 46
No:224 | Peso: 20
No:225 | Peso: 38
No:227 | Peso: 39
No:229 | Peso: 30
No:236 | Peso: 32
No:238 | Peso: 31
No:240 | Peso: 28
No:241 | Peso: 39
No:244 | Peso: 38
No:245 | Peso: 46
No:246 | Peso: 46
No:251 | Peso: 49
No:256 | Peso: 24
No:259 | Peso: 34
No:260 | Peso: 42
No:261 | Peso: 23
No:262 | Peso: 36
No:264 | Peso: 37
No:269 | Peso: 48
No:272 | Peso: 48
No:282 | Peso: 25
No:286 | Peso: 38
No:288 | Peso: 42
No:290 | Peso: 35
No:291 | Peso: 37
No:293 | Peso: 47
No:296 | Peso: 22
No:297 | Peso: 30
No:298 | Peso: 24
No:300 | Peso: 32
No:303 | Peso: 34
No:304 | Peso: 33
No:306 | Peso: 21
No:313 | Peso: 26
No:317 | Peso: 41
No:318 | Peso: 25
No:320 | Peso: 43
